what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374705165345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705166938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705233676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705238567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705244944
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374705248843
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374705255379
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374705255448
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1374705258021
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1374705258137
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374705261615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705267034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705332416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705335282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705336970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374705338196
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1374705339711
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1374705339714
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1374705339733
started,bundle,org.eclipse.mylyn.pde.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.pde.ui",1374705339773
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374705346738
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374705359428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705360689
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705365802
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374705367059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374705367330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705374353
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705377778
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374705390563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374705392034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374705395296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705401565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374705401665
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374705401736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374705402548
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374705405263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1374705407989
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374705408627
