"Name","Objects","Shallow Size","Retained Size"
"java.lang.Class","1939","1473720","4540536"
"java.util.HashMap","381","18288","1685584"
"java.util.HashMap$Entry[]","406","108576","1680256"
"java.util.HashMap$Entry","10501","336032","1587056"
"java.lang.String","10340","330880","979400"
"com.mysql.jdbc.JDBC4Connection","3","3288","789424"
"char[]","9745","724456","724456"
"com.yourkit.probes.ObjectIntWeakMap","5","120","638736"
"com.mysql.jdbc.StatementImpl","55","8360","585528"
"byte[]","4150","582416","582416"
"com.mysql.jdbc.JDBC4ResultSet","55","9680","568368"
"java.lang.Object[]","853","157672","455768"
"java.sql.Connection[]","1","40","453888"
"java.util.ArrayList","313","7512","398472"
"java.lang.Integer","17369","277904","277904"
"int[]","234","196600","196600"
"com.mysql.jdbc.Field[]","55","3344","183352"
"com.mysql.jdbc.Field","598","86112","180008"
"sun.nio.ch.WindowsSelectorImpl","15","1800","168488"
"org.apache.mina.core.service.SimpleIoProcessorPool","3","96","166280"
"org.apache.mina.transport.socket.nio.NioProcessor","12","864","165936"
"org.apache.mina.core.service.IoProcessor[]","3","96","165656"
"java.util.PropertyResourceBundle","1","40","141272"
"sun.nio.ch.WindowsSelectorImpl$SubSelector","15","480","136440"
"com.mysql.jdbc.RowDataStatic","55","1760","134520"
"org.apache.mina.transport.socket.nio.NioSocketAcceptor","3","360","134152"
"com.mysql.jdbc.SingleByteCharsetConverter","2","48","132208"
"com.mysql.jdbc.ByteArrayRow","642","15408","132120"
"byte[][]","642","25112","116712"
"com.mysql.jdbc.MysqlIO","3","672","115344"
"java.io.PrintStream","4","128","100496"
"java.util.TreeMap","171","8208","88144"
"org.jdom.Element","11","440","82360"
"com.sun.jmx.mbeanserver.JmxMBeanServer","1","40","81416"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor","1","48","80816"
"com.sun.jmx.mbeanserver.Repository","1","24","80448"
"java.util.TreeMap$Entry","1972","78880","79936"
"com.sun.jmx.mbeanserver.PerInterface","11","440","66544"
"sun.misc.Launcher$AppClassLoader","1","72","65904"
"java.io.BufferedWriter","4","192","65792"
"java.lang.reflect.Method","309","27192","63176"
"com.sun.jmx.mbeanserver.NamedObject","17","408","58312"
"Constants.CWorld","62","2480","56952"
"java.util.concurrent.ConcurrentHashMap","25","1200","55648"
"javax.management.StandardMBean","15","360","55056"
"java.util.concurrent.ConcurrentHashMap$Segment[]","25","2000","54352"
"com.sun.jmx.mbeanserver.MXBeanSupport","16","640","54056"
"java.util.concurrent.ConcurrentHashMap$Segment","400","16000","52352"
"java.io.BufferedOutputStream","5","120","49968"
"com.mysql.jdbc.util.ReadAheadInputStream","3","120","49320"
"java.util.WeakHashMap$Entry[]","26","35552","47504"
"java.util.Hashtable$Entry","627","20064","46168"
"java.util.Hashtable$Entry[]","36","7536","44768"
"java.util.WeakHashMap","23","1104","42848"
"java.io.OutputStreamWriter","5","160","42080"
"sun.nio.cs.StreamEncoder","5","280","41920"
"java.nio.HeapByteBuffer","11","528","41800"
"org.jdom.ContentList","12","384","41792"
"Game.GServer","6","336","41768"
"org.jdom.Content[]","2","136","41408"
"java.lang.reflect.Field","334","24048","41152"
"java.util.Vector","51","1632","41088"
"com.sun.jmx.mbeanserver.ConvertingMethod","110","3520","40280"
"org.jdom.AttributeList","11","352","39432"
"org.jdom.Attribute[]","3","744","39080"
"java.util.Properties","12","576","38784"
"org.jdom.Attribute","148","4736","38336"
"java.lang.String[]","417","18312","36424"
"sun.misc.URLClassPath","5","160","32176"
"plugin.PluginManagerImpl","1","24","31696"
"GameObjects.GWorld","6","576","30616"
"java.util.concurrent.ConcurrentHashMap$HashEntry[]","400","9632","23552"
"com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter","7","280","22792"
"com.mysql.jdbc.Buffer","39","1248","21808"
"com.mysql.jdbc.ConnectionPropertiesImpl$BooleanConnectionProperty","324","20736","20736"
"sun.misc.URLClassPath$JarLoader","25","1000","20448"
"java.util.Collections$UnmodifiableMap","13","416","20032"
"java.util.HashSet","123","1968","18824"
"java.lang.reflect.Method[]","7","280","18744"
"sun.nio.ch.PipeImpl","15","360","18120"
"java.net.URLClassLoader","2","144","17888"
"java.util.WeakHashMap$Entry","174","6960","16080"
"sun.nio.ch.SocketChannelImpl","31","3472","15272"
"java.lang.Long[]","2","2080","14344"
"java.util.concurrent.ConcurrentHashMap$HashEntry","49","1568","14016"
"java.io.WinNTFileSystem","1","32","13776"
"Game.GServer[]","1","40","13608"
"java.net.URL","56","3584","13376"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","418","13376","13376"
"javax.management.ImmutableDescriptor","165","3960","13272"
"java.util.logging.LogManager$RootLogger","1","72","13248"
"java.io.ExpiringCache","2","80","12376"
"java.lang.Long","515","12360","12360"
"java.io.ExpiringCache$1","2","112","12296"
"GameObjects.GInventory","4","64","12192"
"java.util.LinkedHashMap$Entry","65","2600","12048"
"sun.nio.cs.StandardCharsets","1","32","11792"
"GameObjects.GItem","47","1504","11744"
"sun.nio.ch.SinkChannelImpl","15","840","11280"
"long[]","25","11232","11232"
"java.util.logging.LogManager","1","48","11224"
"java.util.logging.ConsoleHandler","1","56","11032"
"com.mysql.jdbc.BufferRow","31","1736","10992"
"sun.misc.MetaIndex","10","240","10696"
"Game.Queue","6","96","10176"
"sun.reflect.generics.tree.ClassTypeSignature","15","240","9728"
"java.lang.Short[]","2","2080","9456"
"sun.util.LocaleServiceProviderPool","5","160","9440"
"java.security.ProtectionDomain","12","480","9328"
"sun.nio.cs.StandardCharsets$Aliases","1","40","9280"
"java.lang.Short","563","9008","9008"
"java.lang.Thread","16","1792","8984"
"java.util.jar.JarFile","19","1064","8712"
"java.security.Permissions","13","416","8624"
"sun.reflect.generics.tree.SimpleClassTypeSignature","48","1152","8528"
"java.lang.Integer[]","2","2080","8496"
"java.lang.Object","531","8496","8496"
"java.util.Hashtable","24","1152","8480"
